id,player name,player names
68e21fb1,Devender Singh,['Devender Singh']
f98c24ec,DK Anefie,['DK Anefie']
6949f713,MK Anafie,['MK Anafie']
b38a9f73,OH Agbomadzie,"['OH Agbomadzie', 'O Harvey']"
1ce4f664,KS Bagabena,['KS Bagabena']
4fafd79a,TK Joseph,['TK Joseph']
5fe3709e,G Bakiweyem,['G Bakiweyem']
bc3fc527,SK Awiah,['SK Awiah']
193ef196,Sharjeel Khan,"['Sharjeel Khan', 'S Khan']"
f8fd6e3f,Ahmed Shehzad,"['Ahmed Shehzad', 'A Shehzad']"
9ab63e7b,Mohammad Hafeez,"['Mohammad Hafeez', 'M Hafeez']"
b98b5e1c,Sohaib Maqsood,"['Sohaib Maqsood', 'S Maqsood']"
7eae4418,Misbah-ul-Haq,['Misbah-ul-Haq']
fd2bf2a0,Umar Akmal,"['Umar Akmal', 'U Akmal']"
0dc00542,Shahid Afridi,"['Shahid Afridi', 'S Afridi']"
7662cf7a,Bilawal Bhatti,"['Bilawal Bhatti', 'B Bhatti']"
05d74535,Saeed Ajmal,"['Saeed Ajmal', 'S Ajmal']"
086f5984,Junaid Khan,"['Junaid Khan', 'J Khan']"
16dfcc19,Umar Gul,"['Umar Gul', 'U Gul']"
f21043a5,MDKJ Perera,"['MDKJ Perera', 'Kusal Perera', 'KJ Perera']"
5bdcdb72,TM Dilshan,"['TM Dilshan', 'Tillakaratne Dilshan', 'T Dilshan']"
6b71e6cf,KC Sangakkara,"['KC Sangakkara', 'Kumar Sangakkara', 'K Sangakkara']"
fec50c96,SMA Priyanjan,"['SMA Priyanjan', 'A Priyanjan']"
896d78ad,AD Mathews,"['AD Mathews', 'Angelo Mathews', 'Mathews', 'A Mathews']"
469ea22b,KMDN Kulasekara,"['KMDN Kulasekara', 'Nuwan Kulasekara', 'N Kulasekara']"
f3bde2b3,KDK Vithanage,"['KDK Vithanage', 'Kithuruwan Vithanage', 'K Vithanage']"
4c4fa80b,SMSM Senanayake,"['SMSM Senanayake', 'Sachithra Senanayake', 'S Senanayake']"
2f28dc94,RAS Lakmal,"['RAS Lakmal', 'Suranga Lakmal', 'Lakmal', 'S Lakmal']"
a12e1d51,SL Malinga,"['SL Malinga', 'Lasith Malinga', 'L Malinga']"
ff077124,Kamran Akmal,"['Kamran Akmal', 'K Akmal']"
4c4a06fb,Nasir Jamshed,"['Nasir Jamshed', 'N Jamshed']"
33cb3411,Younis Khan,['Younis Khan']
64c34cd0,Shoaib Malik,"['Shoaib Malik', 'S Malik']"
61f05b05,Fawad Alam,"['Fawad Alam', 'F Alam']"
390ff45b,Abdul Razzaq,"['Abdul Razzaq', 'Abdur Razzaq', 'A Razzaq']"
33f28243,Naved-ul-Hasan,"['Naved-ul-Hasan', 'R Naved']"
e174dadd,Mohammad Amir,"['Mohammad Amir', 'Mohammad Aamer', 'M Amir']"
7ed9fd56,WU Tharanga,"['WU Tharanga', 'Upul Tharanga', 'U Tharanga']"
d18f9182,DPMD Jayawardene,"['DPMD Jayawardene', 'Mahela Jayawardene', 'M Jayawardene']"
2008fc75,TT Samaraweera,"['TT Samaraweera', 'Thilan Samaraweera', 'T Samaraweera']"
488b7e1b,SHT Kandamby,"['SHT Kandamby', 'T Kandamby']"
cfad138c,CK Kapugedera,"['CK Kapugedera', 'Chamara Kapugedera']"
b2ae53f5,T Thushara,"['T Thushara', 'Thilan Thushara', 'MTT Mirando']"
342d8ade,CRD Fernando,"['CRD Fernando', 'Dilhara Fernando', 'D Fernando']"
4ba44e19,M Muralitharan,"['M Muralitharan', 'Muttiah Muralitharan']"
45df0e72,CJ Bowes,['CJ Bowes']
b42d5053,MWT Boyle,['MWT Boyle']
dfb51f40,LJ Carter,"['LJ Carter', 'L Carter']"
d285acaf,CE McConchie,['CE McConchie']
4af9f5d4,CD Fletcher,['CD Fletcher']
732f711b,MJ Hay,['MJ Hay']
5426de63,HB Shipley,['HB Shipley']
383dd431,TD Astle,"['TD Astle', 'Todd Astle', 'Astle', 'T Astle']"
ff4ff5f5,BP Coburn,['BP Coburn']
cb9b8664,W O'Rourke,"[""W O'Rourke"", ""WP O'Rourke""]"
c9bb898a,EJ Nuttall,['EJ Nuttall']
bf74b130,FH Allen,"['FH Allen', 'F Allen']"
97f437ed,NF Kelly,['NF Kelly']
ba5e1069,R Ravindra,"['R Ravindra', 'Rachin Ravindra']"
917f66da,TM Johnson,['TM Johnson']
